Título do filme,vote_count,Ano,Plotwords,Gênero,Diretor,poster_path,overview,keywords
Pretty Woman,8784.0,1990,"She walked off the street, into his life and stole his heart.","Romance, Comedy",Garry Marshall,/hVHUfT801LQATGd26VPzhorIYza.jpg,"""She walked off the street, into his life and stole his heart.""","hotel, friendship, prostitute, sports car, capitalism, expensive restaurant, workaholic, fire escape, los angeles, california, beverly hills, piano, bubble bath"
The Big Lebowski,11892.0,1998,Times like these call for a Big Lebowski.,"Comedy, Crime",Joel Coen,/9mprbw31MGdd66LR0AQKoDMoFRv.jpg,"""Times like these call for a Big Lebowski.""","vietnam veteran, white russian, bowling, carpet, nihilism, heart attack, kidnapping, lsd, marijuana, los angeles, california, millionaire, cowboy, ashes, impregnation, bowling team, unemployed, bowling ball, neo-noir, weeds"
Match Point,4269.0,2005,There are no little secrets.,"Drama, Romance, Thriller",Woody Allen,/vHjEVTD8ucuwKSFOZJeyAnTZYli.jpg,"""There are no little secrets.""","adultery, london, england, love triangle, sports, upper class, tennis, river thames, love, wealth, lust, gold digger, instructor, social climbing"
The Untouchables,6024.0,1987,What are you prepared to do?,"Crime, History, Thriller",Brian De Palma,/8BquGK22zCcsmBWiaIakaaPpSZb.jpg,"""What are you prepared to do?""","chicago, illinois, prohibition era, gangster, baseball bat, white suit, tough cop, treasury agent, untouchable, tax evasion, jury tampering, 1930s"
Charlie and the Chocolate Factory,15870.0,2005,Prepare for a taste of adventure.,"Adventure, Comedy, Family, Fantasy",Tim Burton,/iKP6wg3c6COUe8gYutoGG7qcPnO.jpg,"""Prepare for a taste of adventure.""","factory worker, london, england, based on novel or book, chocolate, candy, overweight child, parent child relationship, grandparent grandchild relationship, teacher, candy bar"
The Lord of the Rings: The Fellowship of the Ring,26896.0,2001,One ring to rule them all.,"Adventure, Fantasy, Action",Peter Jackson,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,"""One ring to rule them all.""","based on novel or book, orcs, elves, dwarf, magic, loss of loved one, river, fireworks, mine, maze, mountain, new zealand, castle, volcano, birthday party, addiction, uncle, fugitive, battle, death, blizzard, wizard, journey, ring, live action and animation, sword and sorcery, nz"
The Lord of the Rings: The Two Towers,23336.0,2002,The journey continues.,"Adventure, Fantasy, Action",Peter Jackson,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,"""The journey continues.""","mission, army, based on novel or book, funeral, orcs, elves, dwarf, explosive, fort, cave, siege, addiction, attack, dragon, guide, death, split personality, wizard, ring, live action and animation, sword and sorcery"
The Lord of the Rings: The Return of the King,25924.0,2003,The eye of the enemy is moving.,"Adventure, Fantasy, Action",Peter Jackson,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,"""The eye of the enemy is moving.""","based on novel or book, orcs, elves, dwarf, bravery, suspicion, volcano, addiction, honor, royalty, troll, brutality, ghost, wizard, quest, live action and animation, sword and sorcery"
Princess Mononoke,8723.0,1997,The fate of the world rests on the courage of one warrior.,"Adventure, Fantasy, Animation",Hayao Miyazaki,/cMYCDADoLKLbB83g4WnJegaZimC.jpg,"""The fate of the world rests on the courage of one warrior.""","friendship, human vs nature, wolf, fight, wild boar, territory, leprosy, feral child, decapitation, rural area, historical fiction, spirit, demon, nature, environmentalism, adult animation, deforestation, anime, industrialization"
Spirited Away,17865.0,2001,Beyond the tunnel was a mysterious town.,"Animation, Family, Fantasy",Hayao Miyazaki,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,"""Beyond the tunnel was a mysterious town.""","witch, parent child relationship, darkness, bath house, magic, spirit, parallel world, amusement park, youkai, japanese mythology, anime"
"O Brother, Where Art Thou?",4446.0,2000,"They have a plan, but not a clue.","Adventure, Comedy, Crime",Joel Coen,/s9foMAcLg8GEzzQzer04qOGdD1k.jpg,"""They have a plan, but not a clue.""","music record, country music, based on novel or book, prophecy, southern usa, mississippi river, seduction, fraud"
Groundhog Day,8603.0,1993,He’s having the worst day of his life… Over and over again.,"Romance, Fantasy, Comedy",Harold Ramis,/gCgt1WARPZaXnq523ySQEUKinCs.jpg,"""He’s having the worst day of his life… Over and over again.""","deja vu, groundhog, weather forecast, telecaster, pennsylvania, usa, alarm clock, winter, time warp, holiday, time loop, magic realism, existentialism, groundhog day"
Donnie Darko,13114.0,2001,"28 days, 6 hours, 42 minutes, 12 seconds... that is when the world will end.","Fantasy, Drama, Mystery",Richard Kelly,/fhQoQfejY1hUcwyuLgpBrYs6uFt.jpg,"""28 days, 6 hours, 42 minutes, 12 seconds... that is when the world will end.""","airplane, parent child relationship, presidential election, therapist, school performance, halloween, time travel, vandalism, surrealism, loss, imaginary friend, suburbia, arson, vision, school, mental illness, virginia, sleepwalking, 1980s, parallel universe"
Brokeback Mountain,7390.0,2005,Love is a force of nature.,"Drama, Romance",Ang Lee,/aByfQOQBNa4CMFwIgq3QrqY2ZHh.jpg,"""Love is a force of nature.""",opera
"Crouching Tiger, Hidden Dragon",3463.0,2000,"A timeless story of strength, secrets and two warriors who would never surrender.","Adventure, Drama, Action, Romance",Ang Lee,/iNDVBFNz4XyYzM9Lwip6atSTFqf.jpg,"""A timeless story of strength, secrets and two warriors who would never surrender.""","martial arts, kung fu, based on novel or book, flying, taskmaster, sword, tiger, villainess, mountain, comb, fistfight, sword fight, thief, revenge, theft, historical, female martial artist, 18th century, wuxia, warrior, bamboo, tavern fight, action hero, qing dynasty"
The 400 Blows,2271.0,1959,Angel faces hell-bent for violence.,Drama,François Truffaut,/12PuU23kkDLvTd0nb8hMlE3oShB.jpg,"""Angel faces hell-bent for violence.""","paris, france, delinquent, coming of age, fingerprint, semi autobiographical, skipping school, mugshot, strict teacher, montmartre, paris"
